Freq.	V(n009)
1.26182753459066e+000	(-4.36830870706631e-002dB,-1.62699192337064e-002°)
1.26473634747115e+000	(-4.36830871172995e-002dB,-1.63074252710533e-002°)
1.26765186585784e+000	(-4.36830871640736e-002dB,-1.63450177687456e-002°)
1.27057410520854e+000	(-4.36830872111074e-002dB,-1.63826969260948e-002°)
1.27350308101666e+000	(-4.36830872583302e-002dB,-1.64204629428725e-002°)
1.27643880881134e+000	(-4.36830873058253e-002dB,-1.64583160193100e-002°)
1.27938130415752e+000	(-4.36830873534668e-002dB,-1.64962563561010e-002°)
1.28233058265602e+000	(-4.36830874013699e-002dB,-1.65342841544009e-002°)
1.28528665994361e+000	(-4.36830874494979e-002dB,-1.65723996158294e-002°)
1.28824955169313e+000	(-4.36830874978372e-002dB,-1.66106029424713e-002°)
1.29121927361353e+000	(-4.36830875463801e-002dB,-1.66488943368763e-002°)
1.29419584144998e+000	(-4.36830875951991e-002dB,-1.66872740020615e-002°)
1.29717927098395e+000	(-4.36830876442391e-002dB,-1.67257421415127e-002°)
1.30016957803328e+000	(-4.36830876934362e-002dB,-1.67642989591838e-002°)
1.30316677845229e+000	(-4.36830877429026e-002dB,-1.68029446594990e-002°)
1.30617088813183e+000	(-4.36830877926056e-002dB,-1.68416794473543e-002°)
1.30918192299940e+000	(-4.36830878425188e-002dB,-1.68805035281174e-002°)
1.31219989901920e+000	(-4.36830878926967e-002dB,-1.69194171076300e-002°)
1.31522483219223e+000	(-4.36830879431003e-002dB,-1.69584203922078e-002°)
1.31825673855640e+000	(-4.36830879936823e-002dB,-1.69975135886423e-002°)
1.32129563418657e+000	(-4.36830880445502e-002dB,-1.70366969042021e-002°)
1.32434153519466e+000	(-4.36830880956440e-002dB,-1.70759705466328e-002°)
1.32739445772973e+000	(-4.36830881469490e-002dB,-1.71153347241597e-002°)
1.33045441797808e+000	(-4.36830881985215e-002dB,-1.71547896454875e-002°)
1.33352143216332e+000	(-4.36830882503208e-002dB,-1.71943355198024e-002°)
1.33659551654643e+000	(-4.36830883023537e-002dB,-1.72339725567722e-002°)
1.33967668742593e+000	(-4.36830883546424e-002dB,-1.72737009665496e-002°)
1.34276496113786e+000	(-4.36830884071376e-002dB,-1.73135209597696e-002°)
1.34586035405594e+000	(-4.36830884599235e-002dB,-1.73534327475544e-002°)
1.34896288259164e+000	(-4.36830885129159e-002dB,-1.73934365415124e-002°)
1.35207256319427e+000	(-4.36830885661903e-002dB,-1.74335325537390e-002°)
1.35518941235103e+000	(-4.36830886196712e-002dB,-1.74737209968202e-002°)
1.35831344658715e+000	(-4.36830886734243e-002dB,-1.75140020838308e-002°)
1.36144468246594e+000	(-4.36830887273956e-002dB,-1.75543760283369e-002°)
1.36458313658892e+000	(-4.36830887816373e-002dB,-1.75948430443972e-002°)
1.36772882559584e+000	(-4.36830888361183e-002dB,-1.76354033465639e-002°)
1.37088176616484e+000	(-4.36830888908639e-002dB,-1.76760571498839e-002°)
1.37404197501251e+000	(-4.36830889458480e-002dB,-1.77168046698991e-002°)
1.37720946889394e+000	(-4.36830890011344e-002dB,-1.77576461226492e-002°)
1.38038426460288e+000	(-4.36830890565924e-002dB,-1.77985817246711e-002°)
1.38356637897177e+000	(-4.36830891123441e-002dB,-1.78396116930018e-002°)
1.38675582887188e+000	(-4.36830891683923e-002dB,-1.78807362451777e-002°)
1.38995263121334e+000	(-4.36830892246557e-002dB,-1.79219555992375e-002°)
1.39315680294529e+000	(-4.36830892811924e-002dB,-1.79632699737218e-002°)
1.39636836105593e+000	(-4.36830893379976e-002dB,-1.80046795876753e-002°)
1.39958732257261e+000	(-4.36830893950450e-002dB,-1.80461846606477e-002°)
1.40281370456195e+000	(-4.36830894523765e-002dB,-1.80877854126947e-002°)
1.40604752412990e+000	(-4.36830895099415e-002dB,-1.81294820643796e-002°)
1.40928879842186e+000	(-4.36830895678224e-002dB,-1.81712748367738e-002°)
1.41253754462274e+000	(-4.36830896259399e-002dB,-1.82131639514582e-002°)
1.41579377995707e+000	(-4.36830896843200e-002dB,-1.82551496305251e-002°)
1.41905752168908e+000	(-4.36830897429841e-002dB,-1.82972320965777e-002°)
1.42232878712281e+000	(-4.36830898018681e-002dB,-1.83394115727338e-002°)
1.42560759360218e+000	(-4.36830898611060e-002dB,-1.83816882826245e-002°)
1.42889395851109e+000	(-4.36830899205754e-002dB,-1.84240624503966e-002°)
1.43218789927353e+000	(-4.36830899802920e-002dB,-1.84665343007140e-002°)
1.43548943335364e+000	(-4.36830900403595e-002dB,-1.85091040587579e-002°)
1.43879857825583e+000	(-4.36830901006227e-002dB,-1.85517719502290e-002°)
1.44211535152486e+000	(-4.36830901611980e-002dB,-1.85945382013485e-002°)
1.44543977074592e+000	(-4.36830902220922e-002dB,-1.86374030388586e-002°)
1.44877185354475e+000	(-4.36830902832393e-002dB,-1.86803666900240e-002°)
1.45211161758773e+000	(-4.36830903446249e-002dB,-1.87234293826345e-002°)
1.45545908058195e+000	(-4.36830904063729e-002dB,-1.87665913450034e-002°)
1.45881426027534e+000	(-4.36830904683352e-002dB,-1.88098528059716e-002°)
1.46217717445671e+000	(-4.36830905305939e-002dB,-1.88532139949071e-002°)
1.46554784095590e+000	(-4.36830905931639e-002dB,-1.88966751417068e-002°)
1.46892627764385e+000	(-4.36830906560352e-002dB,-1.89402364767966e-002°)
1.47231250243271e+000	(-4.36830907191808e-002dB,-1.89838982311350e-002°)
1.47570653327588e+000	(-4.36830907826123e-002dB,-1.90276606362118e-002°)
1.47910838816819e+000	(-4.36830908463404e-002dB,-1.90715239240516e-002°)
1.48251808514594e+000	(-4.36830909103418e-002dB,-1.91154883272127e-002°)
1.48593564228699e+000	(-4.36830909746494e-002dB,-1.91595540787902e-002°)
1.48936107771090e+000	(-4.36830910392973e-002dB,-1.92037214124159e-002°)
1.49279440957898e+000	(-4.36830911041835e-002dB,-1.92479905622613e-002°)
1.49623565609442e+000	(-4.36830911693867e-002dB,-1.92923617630365e-002°)
1.49968483550236e+000	(-4.36830912348923e-002dB,-1.93368352499933e-002°)
1.50314196609001e+000	(-4.36830913007294e-002dB,-1.93814112589258e-002°)
1.50660706618673e+000	(-4.36830913668145e-002dB,-1.94260900261716e-002°)
1.51008015416413e+000	(-4.36830914332544e-002dB,-1.94708717886128e-002°)
1.51356124843619e+000	(-4.36830915000054e-002dB,-1.95157567836780e-002°)
1.51705036745932e+000	(-4.36830915670171e-002dB,-1.95607452493433e-002°)
1.52054752973248e+000	(-4.36830916343680e-002dB,-1.96058374241323e-002°)
1.52405275379728e+000	(-4.36830917020349e-002dB,-1.96510335471201e-002°)
1.52756605823806e+000	(-4.36830917699925e-002dB,-1.96963338579315e-002°)
1.53108746168202e+000	(-4.36830918382699e-002dB,-1.97417385967443e-002°)
1.53461698279928e+000	(-4.36830919068808e-002dB,-1.97872480042905e-002°)
1.53815464030302e+000	(-4.36830919757921e-002dB,-1.98328623218552e-002°)
1.54170045294954e+000	(-4.36830920450378e-002dB,-1.98785817912822e-002°)
1.54525443953840e+000	(-4.36830921145616e-002dB,-1.99244066549708e-002°)
1.54881661891247e+000	(-4.36830921844761e-002dB,-1.99703371558804e-002°)
1.55238700995807e+000	(-4.36830922546328e-002dB,-2.00163735375297e-002°)
1.55596563160506e+000	(-4.36830923251481e-002dB,-2.00625160439990e-002°)
1.55955250282694e+000	(-4.36830923960239e-002dB,-2.01087649199311e-002°)
1.56314764264094e+000	(-4.36830924671760e-002dB,-2.01551204105331e-002°)
1.56675107010813e+000	(-4.36830925387032e-002dB,-2.02015827615773e-002°)
1.57036280433354e+000	(-4.36830926105143e-002dB,-2.02481522194023e-002°)
1.57398286446620e+000	(-4.36830926826976e-002dB,-2.02948290309151e-002°)
1.57761126969933e+000	(-4.36830927551910e-002dB,-2.03416134435907e-002°)
1.58124803927037e+000	(-4.36830928280363e-002dB,-2.03885057054764e-002°)
1.58489319246110e+000	(-4.36830929011539e-002dB,-2.04355060651896e-002°)
1.58854674859776e+000	(-4.36830929747047e-002dB,-2.04826147719219e-002°)
1.59220872705115e+000	(-4.36830930485259e-002dB,-2.05298320754389e-002°)
1.59587914723672e+000	(-4.36830931226825e-002dB,-2.05771582260820e-002°)
1.59955802861465e+000	(-4.36830931972568e-002dB,-2.06245934747692e-002°)
1.60324539069002e+000	(-4.36830932721102e-002dB,-2.06721380729983e-002°)
1.60694125301286e+000	(-4.36830933473377e-002dB,-2.07197922728458e-002°)
1.61064563517825e+000	(-4.36830934228957e-002dB,-2.07675563269691e-002°)
1.61435855682647e+000	(-4.36830934988220e-002dB,-2.08154304886090e-002°)
1.61808003764305e+000	(-4.36830935750594e-002dB,-2.08634150115893e-002°)
1.62181009735891e+000	(-4.36830936516952e-002dB,-2.09115101503194e-002°)
1.62554875575047e+000	(-4.36830937286566e-002dB,-2.09597161597946e-002°)
1.62929603263970e+000	(-4.36830938060018e-002dB,-2.10080332955983e-002°)
1.63305194789432e+000	(-4.36830938836765e-002dB,-2.10564618139036e-002°)
1.63681652142779e+000	(-4.36830939617011e-002dB,-2.11050019714734e-002°)
1.64058977319952e+000	(-4.36830940400950e-002dB,-2.11536540256626e-002°)
1.64437172321491e+000	(-4.36830941188629e-002dB,-2.12024182344200e-002°)
1.64816239152549e+000	(-4.36830941979895e-002dB,-2.12512948562883e-002°)
1.65196179822900e+000	(-4.36830942774960e-002dB,-2.13002841504064e-002°)
1.65576996346951e+000	(-4.36830943573310e-002dB,-2.13493863765108e-002°)
1.65958690743754e+000	(-4.36830944375392e-002dB,-2.13986017949366e-002°)
1.66341265037015e+000	(-4.36830945181322e-002dB,-2.14479306666193e-002°)
1.66724721255104e+000	(-4.36830945991341e-002dB,-2.14973732530953e-002°)
1.67109061431069e+000	(-4.36830946804898e-002dB,-2.15469298165042e-002°)
1.67494287602642e+000	(-4.36830947622012e-002dB,-2.15966006195903e-002°)
1.67880401812254e+000	(-4.36830948442857e-002dB,-2.16463859257033e-002°)
1.68267406107045e+000	(-4.36830949267764e-002dB,-2.16962859987993e-002°)
1.68655302538872e+000	(-4.36830950096014e-002dB,-2.17463011034445e-002°)
1.69044093164324e+000	(-4.36830950928470e-002dB,-2.17964315048128e-002°)
1.69433780044731e+000	(-4.36830951764396e-002dB,-2.18466774686918e-002°)
1.69824365246172e+000	(-4.36830952604596e-002dB,-2.18970392614800e-002°)
1.70215850839493e+000	(-4.36830953448692e-002dB,-2.19475171501904e-002°)
1.70608238900310e+000	(-4.36830954296452e-002dB,-2.19981114024525e-002°)
1.71001531509027e+000	(-4.36830955148301e-002dB,-2.20488222865110e-002°)
1.71395730750840e+000	(-4.36830956004115e-002dB,-2.20996500712308e-002°)
1.71790838715757e+000	(-4.36830956863718e-002dB,-2.21505950260954e-002°)
1.72186857498599e+000	(-4.36830957727324e-002dB,-2.22016574212100e-002°)
1.72583789199018e+000	(-4.36830958594797e-002dB,-2.22528375273022e-002°)
1.72981635921508e+000	(-4.36830959466564e-002dB,-2.23041356157237e-002°)
1.73380399775412e+000	(-4.36830960342324e-002dB,-2.23555519584524e-002°)
1.73780082874935e+000	(-4.36830961221824e-002dB,-2.24070868280921e-002°)
1.74180687339159e+000	(-4.36830962105599e-002dB,-2.24587404978752e-002°)
1.74582215292048e+000	(-4.36830962993125e-002dB,-2.25105132416656e-002°)
1.74984668862464e+000	(-4.36830963885157e-002dB,-2.25624053339561e-002°)
1.75388050184174e+000	(-4.36830964781357e-002dB,-2.26144170498738e-002°)
1.75792361395867e+000	(-4.36830965681375e-002dB,-2.26665486651797e-002°)
1.76197604641161e+000	(-4.36830966585755e-002dB,-2.27188004562704e-002°)
1.76603782068614e+000	(-4.36830967494225e-002dB,-2.27711727001797e-002°)
1.77010895831740e+000	(-4.36830968406746e-002dB,-2.28236656745796e-002°)
1.77418948089014e+000	(-4.36830969323735e-002dB,-2.28762796577833e-002°)
1.77827941003890e+000	(-4.36830970244697e-002dB,-2.29290149287448e-002°)
1.78237876744807e+000	(-4.36830971170283e-002dB,-2.29818717670604e-002°)
1.78648757485203e+000	(-4.36830972099939e-002dB,-2.30348504529731e-002°)
1.79060585403527e+000	(-4.36830973033918e-002dB,-2.30879512673698e-002°)
1.79473362683250e+000	(-4.36830973971909e-002dB,-2.31411744917856e-002°)
1.79887091512876e+000	(-4.36830974914650e-002dB,-2.31945204084057e-002°)
1.80301774085955e+000	(-4.36830975861218e-002dB,-2.32479893000636e-002°)
1.80717412601090e+000	(-4.36830976812972e-002dB,-2.33015814502467e-002°)
1.81134009261958e+000	(-4.36830977768602e-002dB,-2.33552971430955e-002°)
1.81551566277311e+000	(-4.36830978728594e-002dB,-2.34091366634046e-002°)
1.81970085860996e+000	(-4.36830979693122e-002dB,-2.34631002966264e-002°)
1.82389570231961e+000	(-4.36830980662059e-002dB,-2.35171883288702e-002°)
1.82810021614272e+000	(-4.36830981635707e-002dB,-2.35714010469057e-002°)
1.83231442237119e+000	(-4.36830982613348e-002dB,-2.36257387381633e-002°)
1.83653834334832e+000	(-4.36830983596077e-002dB,-2.36802016907356e-002°)
1.84077200146893e+000	(-4.36830984582915e-002dB,-2.37347901933808e-002°)
1.84501541917945e+000	(-4.36830985574464e-002dB,-2.37895045355200e-002°)
1.84926861897805e+000	(-4.36830986570742e-002dB,-2.38443450072450e-002°)
1.85353162341479e+000	(-4.36830987571508e-002dB,-2.38993118993134e-002°)
1.85780445509167e+000	(-4.36830988576829e-002dB,-2.39544055031546e-002°)
1.86208713666284e+000	(-4.36830989586598e-002dB,-2.40096261108697e-002°)
1.86637969083464e+000	(-4.36830990601582e-002dB,-2.40649740152320e-002°)
1.87068214036577e+000	(-4.36830991620792e-002dB,-2.41204495096913e-002°)
1.87499450806739e+000	(-4.36830992644944e-002dB,-2.41760528883725e-002°)
1.87931681680324e+000	(-4.36830993673467e-002dB,-2.42317844460802e-002°)
1.88364908948977e+000	(-4.36830994707049e-002dB,-2.42876444782967e-002°)
1.88799134909627e+000	(-4.36830995745313e-002dB,-2.43436332811867e-002°)
1.89234361864495e+000	(-4.36830996788471e-002dB,-2.43997511515970e-002°)
1.89670592121112e+000	(-4.36830997836097e-002dB,-2.44559983870595e-002°)
1.90107827992327e+000	(-4.36830998889024e-002dB,-2.45123752857906e-002°)
1.90546071796322e+000	(-4.36830999946420e-002dB,-2.45688821466957e-002°)
1.90985325856621e+000	(-4.36831001009214e-002dB,-2.46255192693681e-002°)
1.91425592502106e+000	(-4.36831002076388e-002dB,-2.46822869540930e-002°)
1.91866874067026e+000	(-4.36831003148719e-002dB,-2.47391855018462e-002°)
1.92309172891013e+000	(-4.36831004225731e-002dB,-2.47962152142980e-002°)
1.92752491319091e+000	(-4.36831005308218e-002dB,-2.48533763938149e-002°)
1.93196831701690e+000	(-4.36831006395271e-002dB,-2.49106693434596e-002°)
1.93642196394658e+000	(-4.36831007487460e-002dB,-2.49680943669940e-002°)
1.94088587759275e+000	(-4.36831008585000e-002dB,-2.50256517688785e-002°)
1.94536008162263e+000	(-4.36831009687181e-002dB,-2.50833418542780e-002°)
1.94984459975802e+000	(-4.36831010794984e-002dB,-2.51411649290591e-002°)
1.95433945577537e+000	(-4.36831011907216e-002dB,-2.51991212997943e-002°)
1.95884467350596e+000	(-4.36831013024954e-002dB,-2.52572112737622e-002°)
1.96336027683602e+000	(-4.36831014147808e-002dB,-2.53154351589499e-002°)
1.96788628970682e+000	(-4.36831015275644e-002dB,-2.53737932640554e-002°)
1.97242273611482e+000	(-4.36831016408811e-002dB,-2.54322858984868e-002°)
1.97696964011183e+000	(-4.36831017547492e-002dB,-2.54909133723665e-002°)
1.98152702580507e+000	(-4.36831018691426e-002dB,-2.55496759965313e-002°)
1.98609491735734e+000	(-4.36831019840061e-002dB,-2.56085740825353e-002°)
1.99067333898716e+000	(-4.36831020994424e-002dB,-2.56676079426502e-002°)
1.99526231496885e+000	(-4.36831022154118e-002dB,-2.57267778898669e-002°)
1.99986186963271e+000	(-4.36831023318851e-002dB,-2.57860842378998e-002°)
2.00447202736513e+000	(-4.36831024489670e-002dB,-2.58455273011837e-002°)
2.00909281260870e+000	(-4.36831025665307e-002dB,-2.59051073948813e-002°)
2.01372424986236e+000	(-4.36831026846342e-002dB,-2.59648248348796e-002°)
2.01836636368153e+000	(-4.36831028032911e-002dB,-2.60246799377950e-002°)
2.02301917867824e+000	(-4.36831029225101e-002dB,-2.60846730209723e-002°)
2.02768271952125e+000	(-4.36831030422719e-002dB,-2.61448044024899e-002°)
2.03235701093619e+000	(-4.36831031625696e-002dB,-2.62050744011579e-002°)
2.03704207770569e+000	(-4.36831032834353e-002dB,-2.62654833365218e-002°)
2.04173794466950e+000	(-4.36831034048680e-002dB,-2.63260315288637e-002°)
2.04644463672464e+000	(-4.36831035268909e-002dB,-2.63867192992045e-002°)
2.05116217882553e+000	(-4.36831036494216e-002dB,-2.64475469693047e-002°)
2.05589059598411e+000	(-4.36831037725290e-002dB,-2.65085148616662e-002°)
2.06062991326997e+000	(-4.36831038962228e-002dB,-2.65696232995346e-002°)
2.06538015581050e+000	(-4.36831040204894e-002dB,-2.66308726069013e-002°)
2.07014134879101e+000	(-4.36831041453084e-002dB,-2.66922631085036e-002°)
2.07491351745488e+000	(-4.36831042707321e-002dB,-2.67537951298280e-002°)
2.07969668710366e+000	(-4.36831043966948e-002dB,-2.68154689971111e-002°)
2.08449088309726e+000	(-4.36831045232806e-002dB,-2.68772850373418e-002°)
2.08929613085401e+000	(-4.36831046504189e-002dB,-2.69392435782624e-002°)
2.09411245585086e+000	(-4.36831047781484e-002dB,-2.70013449483704e-002°)
2.09893988362349e+000	(-4.36831049064836e-002dB,-2.70635894769221e-002°)
2.10377843976644e+000	(-4.36831050353781e-002dB,-2.71259774939315e-002°)
2.10862814993326e+000	(-4.36831051649122e-002dB,-2.71885093301731e-002°)
2.11348903983661e+000	(-4.36831052950142e-002dB,-2.72511853171849e-002°)
2.11836113524847e+000	(-4.36831054257385e-002dB,-2.73140057872684e-002°)
2.12324446200018e+000	(-4.36831055570385e-002dB,-2.73769710734925e-002°)
2.12813904598268e+000	(-4.36831056889839e-002dB,-2.74400815096916e-002°)
2.13304491314654e+000	(-4.36831058214847e-002dB,-2.75033374304717e-002°)
2.13796208950220e+000	(-4.36831059546533e-002dB,-2.75667391712092e-002°)
2.14289060112002e+000	(-4.36831060884121e-002dB,-2.76302870680534e-002°)
2.14783047413050e+000	(-4.36831062227738e-002dB,-2.76939814579299e-002°)
2.15278173472434e+000	(-4.36831063577547e-002dB,-2.77578226785394e-002°)
2.15774440915263e+000	(-4.36831064933928e-002dB,-2.78218110683612e-002°)
2.16271852372698e+000	(-4.36831066296395e-002dB,-2.78859469666563e-002°)
2.16770410481966e+000	(-4.36831067665172e-002dB,-2.79502307134668e-002°)
2.17270117886371e+000	(-4.36831069040180e-002dB,-2.80146626496180e-002°)
2.17770977235312e+000	(-4.36831070421586e-002dB,-2.80792431167221e-002°)
2.18272991184296e+000	(-4.36831071809242e-002dB,-2.81439724571781e-002°)
2.18776162394952e+000	(-4.36831073203188e-002dB,-2.82088510141750e-002°)
2.19280493535041e+000	(-4.36831074604113e-002dB,-2.82738791316918e-002°)
2.19785987278479e+000	(-4.36831076011008e-002dB,-2.83390571545017e-002°)
2.20292646305342e+000	(-4.36831077424629e-002dB,-2.84043854281713e-002°)
2.20800473301886e+000	(-4.36831078844637e-002dB,-2.84698642990654e-002°)
2.21309470960560e+000	(-4.36831080271448e-002dB,-2.85354941143463e-002°)
2.21819641980018e+000	(-4.36831081704860e-002dB,-2.86012752219764e-002°)
2.22330989065136e+000	(-4.36831083144184e-002dB,-2.86672079707210e-002°)
2.22843514927026e+000	(-4.36831084590952e-002dB,-2.87332927101487e-002°)
